iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
      169    3.3800E-06    9.501462E-01    2.525697E-01    1.205767E-15    1.205107E-15    3.817380E-09    5.971004E-06    1.007374E-15    1.528996E-06
      170    3.4000E-06    9.501462E-01    2.525697E-01    1.205801E-15    1.205121E-15    3.849091E-09    5.963855E-06    1.007386E-15    1.536145E-06
      171    3.4200E-06    9.501462E-01    2.525697E-01    1.205834E-15    1.205136E-15    3.880893E-09    5.956724E-06    1.007398E-15    1.543276E-06
      172    3.4400E-06    9.501462E-01    2.525697E-01    1.205868E-15    1.205150E-15    3.912787E-09    5.949610E-06    1.007410E-15    1.550390E-06
      173    3.4600E-06    9.501462E-01    2.525697E-01    1.205903E-15    1.205164E-15    3.944772E-09    5.942514E-06    1.007421E-15    1.557486E-06
      174    3.4800E-06    9.501462E-01    2.525697E-01    1.205937E-15    1.205178E-15    3.976848E-09    5.935436E-06    1.007432E-15    1.564564E-06
      175    3.5000E-06    9.501462E-01    2.525697E-01    1.205972E-15    1.205193E-15    4.009015E-09    5.928375E-06    1.007443E-15    1.571625E-06
      176    3.5200E-06    9.501462E-01    2.525697E-01    1.206006E-15    1.205207E-15    4.041273E-09    5.921332E-06    1.007454E-15    1.578668E-06
      177    3.5400E-06    9.501462E-01    2.525697E-01    1.206041E-15    1.205221E-15    4.073622E-09    5.914307E-06    1.007464E-15    1.585693E-06
      178    3.5600E-06    9.501462E-01    2.525697E-01    1.206076E-15    1.205235E-15    4.106061E-09    5.907298E-06    1.007474E-15    1.592702E-06
      179    3.5800E-06    9.501462E-01    2.525697E-01    1.206111E-15    1.205249E-15    4.138590E-09    5.900308E-06    1.007484E-15    1.599692E-06
      180    3.6000E-06    9.501462E-01    2.525697E-01    1.206147E-15    1.205264E-15    4.171209E-09    5.893334E-06    1.007493E-15    1.606666E-06
      181    3.6200E-06    9.501462E-01    2.525697E-01    1.206182E-15    1.205278E-15    4.203917E-09    5.886378E-06    1.007502E-15    1.613622E-06
